CREDIT_CARD_EXCEED_MONTHS,LOAN_AMOUNT,LOAN_TENURE_YEAR,MORE_THAN_ONE_PRODUCTS,NUMBER_OF_DEPENDENTS,YEARS_TO_FINANCIAL_FREEDOM,NUMBER_OF_CREDIT_CARD_FACILITY,NUMBER_OF_PROPERTIES,NUMBER_OF_BANK_PRODUCTS,NUMBER_OF_LOAN_TO_APPROVE,YEARS_FOR_PROPERTY_TO_COMPLETION,NUMBER_OF_SIDE_INCOME,MONTHLY_SALARY,TOTAL_SUM_OF_LOAN,TOTAL_INCOME_FOR_JOIN_APPLICATION,SCORE,EMP_TYPE_Employee,EMP_TYPE_Employer,EMP_TYPE_Fresh Graduate,EMP_TYPE_Government,EMP_TYPE_Self-Employed,CC_TYPE_Gold,CC_TYPE_Normal,CC_TYPE_Not Specified,CC_TYPE_Platinum,PRO_TYPE_Bungalow,PRO_TYPE_Condominium,PRO_TYPE_Flat,PRO_TYPE_Not Specified,PRO_TYPE_Terrace,STATE_Johor,STATE_Kedah,STATE_Kuala Lumpur,STATE_Negeri Sembilan,STATE_Pulau Pinang,STATE_Sabah,STATE_Sarawak,STATE_Selangor,STATE_Terengganu,DECISION
0.0,0.4627756157121329,0.4285714285714286,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.9665887069829602,0.4204070811413966,0.681686978832585,0.33333333333333304,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,0.7224570152437542,0.6428571428571428,0.0,0.0,0.7142857142857143,0.0,0.0,0.0,0.5,0.0,0.5,0.6312506960686044,0.4493081135569732,0.7664368184733803,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.4977839224287066,0.3571428571428572,1.0,0.0,0.0,0.0,0.0,0.25,1.0,0.0,0.5,0.14879162490255043,0.11677920524103136,0.40811417575368836,0.6666666666666665,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,0.5576251654909541,0.7142857142857142,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.09756097560975607,0.1131257884417235,0.27493585631815265,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.2752711478138037,0.2857142857142858,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1.0,0.22775364739948772,0.3442252804400415,0.31991661321359843,0.6666666666666665,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,0.1400046323169877,0.7142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.8620113598396257,0.9031067638709903,0.7076651699807568,0.33333333333333304,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,0.1808419379097956,0.5714285714285714,1.0,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.5,0.6760218287114377,0.1900971233955605,0.29257536882617063,0.33333333333333304,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.8104381542790312,0.7857142857142858,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.5,0.7818242565987303,0.7487503896686577,0.001603592046183433,0.6666666666666665,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,0.020350740741799794,1.0,1.0,0.0,0.0,0.0,0.0,0.25,0.5,0.0,0.0,0.9355162044771133,0.13264078328013118,0.43489416292495187,0.6666666666666665,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.4524515536848366,0.1428571428571429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.6628800534580688,0.7143770011488549,0.8709108402822321,0.33333333333333304,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
